POSITION,CLUB,POINTS,PLAYED,WINS,DRAWN,LOST,GOALS FOR,GOALS AGAINST,GOAL DIFFERENCE,%
,,,,,,,,,,
"1
",Palmeiras,"81
","38
","23
","12
","3
","66
","27
","+39
",71.0
"2
",Internacional,"73
","38
","20
","13
","5
","58
","31
","+27
",64.0
"3
",Fluminense,"70
","38
","21
","7
","10
","63
","41
","+22
",61.0
"4
",Corinthians,"65
","38
","18
","11
","9
","44
","36
","+8
",57.0
"5
",Flamengo,"62
","38
","18
","8
","12
","60
","39
","+21
",54.0
"6
",Athletico Paranaense,"58
","38
","16
","10
","12
","48
","48
","0
",50.0
"7
",Atlético Mineiro,"58
","38
","15
","13
","10
","45
","37
","+8
",50.0
"8
",Fortaleza,"55
","38
","15
","10
","13
","46
","39
","+7
",48.0
"9
",São Paulo,"54
","38
","13
","15
","10
","55
","42
","+13
",47.0
"10
",América Mineiro,"53
","38
","15
","8
","15
","40
","40
","0
",46.0
"11
",Botafogo,"53
","38
","15
","8
","15
","41
","43
","−2
",46.0
"12
",Santos,"47
","38
","12
","11
","15
","44
","41
","+3
",41.0
"13
",Goiás,"46
","38
","11
","13
","14
","40
","53
","−13
",40.0
"14
",Red Bull Bragantino,"44
","38
","11
","11
","16
","49
","59
","−10
",38.0
"15
",Coritiba,"42
","38
","12
","6
","20
","39
","60
","−21
",36.0
"16
",Cuiabá,"41
","38
","10
","11
","17
","31
","42
","−11
",35.0
"17
",Ceará,"37
","38
","7
","16
","15
","34
","41
","−7
",32.0
"18
",Atlético Goianiense,"36
","38
","8
","12
","18
","39
","57
","−18
",31.0
"19
",Avaí,"35
","38
","9
","8
","21
","34
","60
","−26
",30.0
"20
",Juventude,"22
","38
","3
","13
","22
","29
","69
","−40
",19.0
